Champion,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Aatrox,Top,48,3.2%,1.7%,4.9%,35%,56%,131,157,174,1.9,60.0%,23.6%,2%,-131,29,-3.7,8.3,25.1%,509,24.7%,22.5%,0.39,0.19
Ahri,Middle,292,19.5%,12.7%,32.1%,50%,50%,901,545,1764,4.9,71.4%,15.0%,8%,60,11,1,8.5,25.0%,532,25.7%,22.8%,0.49,0.31
Akali,Middle,146,9.7%,13.5%,23.5%,39%,63%,566,356,487,3,63.4%,20.0%,5%,-63,74,-0.3,8.2,24.8%,486,23.9%,23.2%,0.24,0.21
Alistar,Support,139,9.3%,7.7%,16.9%,49%,65%,81,453,1225,2.9,71.4%,24.7%,19%,-5,-32,0.2,1,1.9%,130,6.2%,8.8%,1.72,0.3
Annie,Middle,285,19.0%,28.0%,50.8%,52%,39%,682,714,1910,3.6,71.2%,20.9%,5%,28,13,0.5,7.5,20.3%,542,25.8%,21.2%,0.32,0.21
Annie,Support,57,3.8%,28.0%,50.8%,56%,32%,56,141,494,3.9,78.0%,22.1%,7%,-74,-169,-6.8,0.7,2.6%,227,10.8%,9.8%,0.99,0.43
Aphelios,ADC,520,34.6%,10.2%,44.8%,48%,43%,1966,1245,2098,3.3,66.5%,18.8%,7%,23,-34,1.5,9.8,33.1%,605,28.6%,27.7%,0.41,0.37
Ashe,ADC,73,4.9%,26.6%,38.7%,38%,67%,224,193,438,3.4,72.0%,18.8%,16%,76,47,1,8.8,27.3%,542,23.6%,24.3%,0.41,0.37
Ashe,Support,109,7.3%,26.6%,38.7%,49%,22%,85,294,907,3.4,73.2%,20.3%,11%,110,42,-6.4,1.1,4.2%,355,15.2%,10.6%,2.04,0.68
Aurelion Sol,Middle,20,1.3%,1.5%,2.9%,40%,65%,96,33,87,5.5,78.5%,12.0%,5%,-187,-196,-9.2,9.5,30.2%,673,32.4%,26.9%,0.45,0.19
Azir,Middle,381,25.4%,16.8%,42.3%,49%,46%,1132,904,1812,3.3,67.6%,19.6%,13%,-12,56,1.2,9,26.9%,631,29.4%,24.2%,0.41,0.26
Blitzcrank,Support,78,5.2%,6.3%,11.5%,58%,94%,71,258,632,2.7,60.9%,26.2%,12%,-104,-129,0.6,1.1,2.1%,167,7.7%,9.0%,1.73,0.32
Braum,Support,102,6.8%,4.1%,10.9%,45%,78%,48,321,875,2.9,77.0%,23.0%,12%,-39,25,0.9,1.1,2.0%,157,7.4%,8.8%,1.62,0.31
Caitlyn,ADC,82,5.5%,21.5%,27.8%,57%,29%,314,137,327,4.7,65.7%,15.5%,21%,222,45,6,9.6,31.0%,561,25.7%,26.9%,0.31,0.39
Caitlyn,Support,13,0.9%,21.5%,27.8%,54%,69%,20,38,87,2.8,60.1%,20.5%,23%,483,2,-0.4,1.6,7.0%,393,15.6%,14.6%,1.59,0.98
Camille,Top,45,3.0%,2.0%,5.0%,49%,78%,138,128,176,2.5,53.0%,21.9%,11%,-12,-9,-4.7,8.1,24.6%,458,21.1%,23.5%,0.29,0.19
Cassiopeia,Middle,28,1.9%,2.9%,4.8%,43%,82%,64,63,123,3,61.5%,18.5%,11%,-36,-90,-0.2,8.6,24.2%,470,23.2%,23.1%,0.44,0.2
Cho'Gath,Top,15,1.0%,0.5%,1.6%,47%,87%,29,44,59,2,55.3%,21.2%,13%,-79,-101,0.5,7.4,20.4%,461,20.9%,21.6%,0.41,0.16
Darius,Top,10,0.7%,0.5%,1.1%,50%,90%,41,27,30,2.6,58.2%,22.0%,10%,-257,-460,-18,7.9,27.3%,430,21.1%,23.6%,0.28,0.2
Draven,ADC,91,6.1%,9.7%,15.7%,47%,74%,351,208,363,3.4,65.2%,17.9%,8%,-1,-19,0.8,9.2,30.4%,509,25.0%,28.6%,0.34,0.29
Elise,Jungle,102,6.8%,25.6%,32.4%,54%,39%,240,244,553,3.3,66.0%,21.1%,27%,124,-68,-2.1,5.3,15.6%,408,18.2%,17.6%,0.69,0.54
Ezreal,ADC,86,5.7%,2.0%,7.8%,45%,91%,307,168,358,4,66.4%,15.2%,15%,-23,22,-0.9,9.6,31.5%,694,30.6%,26.5%,0.33,0.3
Fiora,Top,109,7.3%,13.1%,20.4%,50%,71%,290,214,311,2.8,47.4%,16.1%,8%,4,-37,1.3,9.1,29.1%,502,23.3%,24.9%,0.32,0.21
Galio,Middle,31,2.1%,2.9%,5.2%,45%,81%,59,81,203,3.2,68.4%,20.4%,6%,-242,-105,-4.8,7.5,23.9%,374,18.8%,19.6%,0.32,0.19
Gangplank,Top,26,1.7%,0.6%,2.3%,62%,92%,77,74,147,3,63.3%,25.3%,23%,-10,-34,-5.2,8.6,27.7%,701,30.9%,26.9%,0.36,0.1
Gnar,Top,229,15.3%,11.9%,27.2%,50%,69%,434,601,907,2.2,52.0%,21.6%,7%,-98,25,-0.8,8.7,25.9%,510,24.2%,23.5%,0.35,0.2
Gragas,Jungle,24,1.6%,9.5%,26.8%,29%,67%,52,91,136,2.1,60.6%,23.3%,8%,-117,-112,-2.7,5.6,17.2%,469,18.9%,17.0%,0.47,0.31
Gragas,Middle,73,4.9%,9.5%,26.8%,42%,56%,124,187,406,2.8,61.8%,19.7%,10%,-98,29,-2,7.7,22.1%,451,22.6%,19.9%,0.31,0.23
Gragas,Top,162,10.8%,9.5%,26.8%,54%,58%,223,314,809,3.3,53.0%,18.2%,6%,-100,19,-3.5,7.7,22.6%,471,22.7%,20.0%,0.34,0.16
Graves,Jungle,16,1.1%,0.8%,2.1%,31%,100%,53,45,85,3.1,78.0%,18.4%,19%,31,10,-0.6,7,23.5%,438,20.1%,23.4%,0.68,0.66
Gwen,Top,107,7.1%,12.3%,19.5%,50%,86%,271,270,414,2.5,53.8%,20.6%,3%,-40,-51,1.9,8.9,26.8%,563,26.4%,23.7%,0.35,0.22
Heimerdinger,Support,128,8.5%,4.8%,13.3%,50%,48%,129,317,800,2.9,61.2%,21.5%,11%,175,-103,-4.3,1,3.8%,338,15.1%,10.4%,1.43,0.51
Irelia,Middle,12,0.8%,1.5%,3.3%,42%,83%,38,49,51,1.8,55.3%,27.7%,25%,273,53,7.8,9.4,29.2%,508,20.8%,24.0%,0.3,0.23
Irelia,Top,14,0.9%,1.5%,3.3%,36%,86%,42,48,31,1.5,52.5%,26.1%,14%,58,-37,0.3,9,28.1%,400,21.9%,25.7%,0.29,0.13
Ivern,Jungle,50,3.3%,7.6%,10.9%,54%,62%,59,81,466,6.5,81.0%,13.8%,18%,-113,41,-0.9,4.9,12.3%,219,9.9%,16.3%,0.37,0.37
Jarvan IV,Jungle,15,1.0%,0.7%,2.0%,40%,67%,30,64,148,2.8,90.4%,28.3%,13%,4,39,-0.3,4.7,14.0%,295,12.8%,16.9%,0.38,0.44
Jax,Top,365,24.3%,34.6%,59.1%,52%,33%,1029,895,1322,2.6,51.2%,19.9%,12%,-56,-92,-2,8.4,26.0%,469,22.2%,23.3%,0.42,0.16
Jayce,Middle,271,18.1%,32.0%,55.8%,55%,37%,1132,629,1356,4,71.6%,19.1%,7%,-36,-89,-1.7,8.8,26.1%,693,28.8%,25.1%,0.42,0.3
Jayce,Top,87,5.8%,32.0%,55.8%,46%,32%,224,280,379,2.2,59.4%,24.2%,14%,87,-53,6.1,8.7,27.3%,678,29.3%,24.5%,0.43,0.22
Jhin,ADC,62,4.1%,0.9%,5.5%,39%,90%,205,96,329,5.6,68.3%,11.9%,13%,-233,-104,-6.8,8.8,29.5%,525,22.0%,24.6%,0.37,0.24
Jinx,ADC,174,11.6%,3.5%,15.1%,47%,78%,657,411,786,3.5,72.6%,19.3%,8%,11,-72,-1.5,9.9,34.9%,607,29.6%,28.2%,0.4,0.36
K'Sante,Middle,31,2.1%,25.2%,70.1%,52%,39%,68,65,135,3.1,58.8%,17.2%,10%,83,72,1.9,7.7,21.2%,284,14.5%,20.3%,0.38,0.26
K'Sante,Top,643,42.8%,25.2%,70.1%,50%,37%,1417,1459,3073,3.1,56.4%,18.7%,8%,-32,-24,-1.5,7.9,23.0%,406,19.1%,21.2%,0.38,0.16
Kai'Sa,ADC,279,18.6%,12.2%,31.4%,56%,20%,1499,574,1374,5,72.9%,16.6%,15%,-91,-29,-2.1,10,32.5%,684,30.0%,27.8%,0.58,0.37
Kai'Sa,Middle,10,0.7%,12.2%,31.4%,30%,80%,50,32,26,2.4,73.1%,19.8%,0%,-555,-410,-7.3,9.1,29.8%,816,36.6%,27.2%,0.47,0.22
Kalista,ADC,16,1.1%,1.9%,3.6%,50%,63%,67,34,70,4,62.8%,16.0%,6%,42,72,3.7,9,29.8%,376,17.8%,25.9%,0.38,0.35
Kalista,Support,10,0.7%,1.9%,3.6%,60%,80%,21,28,72,3.3,68.9%,24.8%,30%,385,387,0.7,1.2,4.7%,302,13.0%,13.0%,1.66,0.74
Karma,Support,104,6.9%,5.6%,12.7%,38%,55%,63,260,725,3,72.2%,20.7%,19%,20,57,-0.4,0.8,2.8%,223,10.7%,9.5%,1.18,0.46
Kassadin,Middle,45,3.0%,14.2%,17.2%,58%,71%,188,85,209,4.7,68.4%,16.1%,9%,-247,-121,-5.9,9,28.5%,575,26.4%,24.8%,0.28,0.27
Kennen,Top,97,6.5%,8.8%,15.3%,49%,56%,277,327,441,2.2,55.4%,26.0%,5%,442,342,15.8,8.2,24.7%,619,28.8%,22.9%,0.36,0.18
Kha'Zix,Jungle,79,5.3%,2.6%,7.9%,53%,78%,280,182,345,3.4,67.3%,18.8%,13%,89,63,1.5,6.9,20.0%,410,18.7%,22.2%,1.1,0.78
Kindred,Jungle,37,2.5%,10.5%,12.9%,54%,65%,139,85,203,4,72.0%,20.6%,14%,221,257,5.8,7,22.1%,493,21.7%,22.0%,0.4,0.55
LeBlanc,Middle,174,11.6%,36.0%,47.8%,48%,43%,581,300,777,4.5,62.7%,13.4%,13%,77,86,2.8,9.2,27.4%,688,30.9%,24.9%,0.38,0.34
Lee Sin,Jungle,171,11.4%,13.9%,25.5%,55%,56%,521,442,1064,3.6,74.4%,22.0%,18%,115,8,0.3,5.6,16.2%,302,14.2%,18.6%,0.54,0.33
Leona,Support,113,7.5%,2.1%,9.6%,55%,68%,73,408,965,2.5,64.5%,27.5%,13%,-21,-3,3.3,1.2,2.8%,109,5.0%,9.0%,1.64,0.46
Lillia,Jungle,12,0.8%,0.5%,1.3%,67%,83%,42,20,75,5.9,76.0%,13.1%,25%,328,252,6.4,6.8,20.5%,564,23.2%,20.8%,0.3,0.39
Lissandra,Middle,42,2.8%,3.5%,6.3%,43%,95%,99,128,303,3.1,69.7%,22.5%,19%,103,-105,0.6,8.1,24.1%,427,21.8%,20.7%,0.33,0.25
Lucian,ADC,238,15.9%,28.5%,44.5%,50%,52%,868,520,935,3.5,68.6%,20.2%,13%,90,71,1.6,9.3,31.0%,662,30.3%,27.4%,0.39,0.39
Lulu,Support,294,19.6%,9.7%,29.3%,47%,62%,124,548,2410,4.6,80.2%,16.7%,12%,-54,-95,-1.2,0.7,2.0%,119,6.1%,9.1%,1.36,0.33
Lux,Support,52,3.5%,0.3%,3.8%,58%,60%,55,142,388,3.1,74.2%,25.5%,23%,53,2,-3.4,0.8,3.6%,301,14.2%,10.2%,1.12,0.4
Malphite,Top,61,4.1%,4.5%,8.6%,38%,87%,80,156,317,2.5,58.7%,18.2%,5%,-207,-130,-9.1,7.7,22.9%,419,22.0%,20.3%,0.41,0.19
Maokai,Jungle,410,27.3%,33.2%,61.8%,58%,34%,692,1059,3183,3.7,74.5%,21.6%,17%,-57,-52,-0.9,5,13.1%,464,19.5%,16.8%,0.32,0.34
Maokai,Support,17,1.1%,33.2%,61.8%,53%,35%,20,51,126,2.9,71.6%,24.4%,6%,20,11,0.2,1.4,3.5%,242,12.1%,9.7%,1.52,0.41
Milio,Support,119,7.9%,21.1%,29.0%,53%,19%,37,180,992,5.7,81.0%,14.7%,11%,-8,-78,0.9,0.9,1.8%,63,3.2%,9.2%,1.55,0.31
Nami,Support,230,15.3%,0.3%,15.7%,48%,34%,130,427,1913,4.8,82.1%,16.7%,15%,-53,8,-2.7,0.5,1.7%,165,7.8%,9.1%,1.26,0.31
Nautilus,Jungle,15,1.0%,15.0%,41.2%,67%,53%,14,44,128,3.2,67.0%,26.3%,40%,-93,-173,-7.8,4.7,13.1%,220,9.1%,15.0%,0.41,0.32
Nautilus,Support,378,25.2%,15.0%,41.2%,46%,66%,263,1365,2968,2.4,66.3%,25.9%,12%,-12,8,2.1,1.2,2.4%,141,6.6%,9.0%,1.56,0.35
Neeko,Middle,150,10.0%,30.0%,40.3%,54%,24%,346,391,951,3.3,64.1%,20.9%,6%,35,106,3.5,7.9,21.4%,499,24.2%,20.6%,0.33,0.21
Nidalee,Jungle,21,1.4%,2.3%,3.8%,52%,76%,67,57,133,3.5,71.9%,20.2%,19%,447,137,2.7,6.4,17.1%,563,22.5%,20.0%,0.46,0.56
Nocturne,Jungle,71,4.7%,7.0%,11.7%,45%,80%,181,197,483,3.4,70.0%,20.2%,18%,102,136,5.1,6.1,16.6%,319,15.0%,19.2%,0.7,0.39
Olaf,Top,12,0.8%,0.5%,1.4%,50%,92%,32,30,43,2.5,53.2%,19.7%,0%,20,-98,5.8,8.5,26.3%,514,24.5%,24.1%,0.37,0.22
Orianna,Middle,16,1.1%,0.7%,1.7%,50%,81%,54,34,97,4.4,72.2%,15.7%,13%,56,23,3.8,8.8,27.3%,638,28.0%,24.3%,0.34,0.18
Ornn,Top,103,6.9%,2.4%,9.3%,54%,87%,138,221,650,3.6,59.8%,18.4%,8%,-386,-177,-10,7.2,20.8%,426,19.3%,18.7%,0.41,0.15
Poppy,Jungle,123,8.2%,18.0%,29.9%,47%,68%,206,325,852,3.3,70.3%,21.1%,20%,-109,-144,-4.2,4.9,13.1%,240,11.2%,16.0%,0.39,0.42
Poppy,Top,56,3.7%,18.0%,29.9%,57%,79%,86,87,319,4.7,55.8%,13.5%,4%,-35,7,-2.8,7.7,22.3%,526,22.9%,20.1%,0.42,0.18
Pyke,Support,11,0.7%,0.3%,1.0%,45%,100%,29,37,41,1.9,48.6%,25.7%,18%,41,-189,8,1.7,3.7%,173,8.0%,10.9%,2.24,0.88
Rakan,Support,425,28.3%,20.5%,48.8%,54%,25%,292,1072,3981,4,78.0%,21.2%,14%,-37,25,4,1.3,2.9%,137,6.6%,9.6%,1.95,0.51
Rell,Jungle,47,3.1%,10.4%,27.4%,57%,45%,49,129,475,4.1,81.6%,23.1%,26%,-50,6,0,4.9,12.3%,221,9.8%,15.7%,0.38,0.33
Rell,Support,209,13.9%,10.4%,27.4%,51%,26%,125,734,2047,3,75.6%,26.0%,18%,12,-25,0.7,1.2,2.3%,128,5.9%,9.0%,1.71,0.38
Renata Glasc,Support,68,4.5%,3.1%,7.6%,65%,81%,45,144,666,4.9,76.2%,18.9%,10%,9,-51,-5,1,2.6%,152,6.9%,9.8%,1.84,0.4
Renekton,Top,450,30.0%,30.6%,61.1%,49%,28%,981,1246,1846,2.3,51.0%,22.5%,10%,201,111,5.6,8.6,25.4%,451,21.4%,22.6%,0.34,0.22
Rumble,Top,69,4.6%,12.0%,16.7%,54%,33%,235,207,438,3.3,65.5%,22.3%,12%,329,250,10.3,7.6,22.5%,716,30.8%,21.2%,0.42,0.1
Ryze,Middle,108,7.2%,10.9%,18.2%,45%,31%,302,264,484,3,64.4%,19.1%,4%,-69,-27,2.3,9.1,27.6%,546,25.7%,24.3%,0.34,0.22
Samira,ADC,23,1.5%,2.0%,3.5%,43%,100%,99,67,88,2.8,64.9%,20.2%,13%,-6,-134,-8.9,9,29.0%,442,22.0%,25.7%,0.55,0.39
Sejuani,Jungle,577,38.4%,30.2%,69.2%,47%,40%,817,1376,4294,3.7,75.2%,19.4%,22%,-28,-5,0.4,5.2,13.6%,276,13.2%,16.6%,0.36,0.44
Sion,Top,225,15.0%,8.7%,24.1%,50%,51%,285,507,1226,3,56.3%,18.9%,7%,-156,-43,-6.3,7.3,21.1%,435,20.4%,19.3%,0.36,0.15
Sivir,ADC,76,5.1%,1.5%,6.5%,36%,88%,195,186,382,3.1,71.3%,17.8%,11%,-188,-155,-5.8,10,35.0%,610,27.3%,26.9%,0.36,0.37
Skarner,Jungle,10,0.7%,0.5%,1.2%,60%,100%,12,15,89,6.7,79.5%,16.3%,10%,-86,64,3.1,5.1,12.4%,162,7.8%,16.3%,0.39,0.41
Soraka,Support,20,1.3%,0.3%,1.6%,45%,100%,8,46,165,3.8,75.9%,19.7%,10%,68,-3,-2.4,0.7,2.4%,142,6.6%,9.2%,1.38,0.38
Sylas,Middle,148,9.9%,12.5%,22.9%,51%,53%,467,345,726,3.5,62.9%,20.0%,14%,25,-35,-3.1,8.4,26.0%,496,23.0%,23.5%,0.25,0.23
Syndra,Middle,112,7.5%,8.0%,15.5%,43%,62%,321,293,467,2.7,65.9%,21.3%,4%,-13,-35,1.3,8.4,24.7%,551,27.1%,23.2%,0.41,0.19
Tahm Kench,Support,23,1.5%,1.2%,2.7%,35%,83%,11,63,127,2.2,65.7%,21.2%,9%,-67,92,3.6,1.1,1.8%,155,8.0%,8.8%,1.51,0.28
Taliyah,Middle,108,7.2%,5.1%,12.3%,52%,68%,299,263,662,3.7,68.5%,19.6%,15%,-138,-156,-5.4,8.6,26.3%,586,26.2%,23.0%,0.38,0.18
Thresh,Support,81,5.4%,4.1%,9.5%,46%,51%,62,252,700,3,75.7%,23.3%,16%,63,106,3.1,1.1,2.1%,134,6.6%,9.3%,1.57,0.32
Tristana,ADC,43,2.9%,21.8%,37.0%,63%,63%,195,82,154,4.3,66.6%,16.6%,9%,-28,-31,-3.3,10.1,33.1%,594,28.2%,27.8%,0.54,0.44
Tristana,Middle,185,12.3%,21.8%,37.0%,59%,33%,770,420,835,3.8,69.2%,19.0%,12%,104,30,2.5,9.6,30.5%,611,27.6%,26.7%,0.43,0.32
Twisted Fate,Middle,16,1.1%,0.6%,1.7%,63%,81%,33,30,119,5.1,72.4%,18.9%,19%,-16,-502,-10.2,8,21.8%,424,20.5%,22.9%,0.37,0.2
Varus,ADC,322,21.5%,21.6%,43.6%,52%,30%,1210,743,1541,3.7,67.0%,18.2%,11%,139,112,4.2,9.1,29.1%,637,27.6%,25.5%,0.44,0.33
Veigar,Middle,61,4.1%,3.0%,7.3%,49%,64%,211,115,261,4.1,69.5%,16.1%,11%,32,-24,0.4,8.7,25.5%,520,26.7%,23.7%,0.42,0.18
Vi,Jungle,431,28.7%,43.7%,72.4%,53%,37%,992,1283,2619,2.8,67.9%,24.5%,14%,-13,26,0.5,5.5,15.3%,249,11.9%,17.6%,0.33,0.42
Viego,Jungle,211,14.1%,9.1%,23.1%,45%,65%,710,513,1057,3.4,70.9%,19.5%,22%,80,103,3.3,6,16.8%,308,15.1%,19.8%,0.35,0.46
Viktor,Middle,73,4.9%,1.2%,6.1%,41%,62%,154,165,303,2.8,66.5%,18.7%,8%,-114,16,-1.4,8.6,25.9%,706,32.4%,23.5%,0.34,0.17
Wukong,Jungle,491,32.7%,16.8%,49.5%,46%,54%,1392,1338,2781,3.1,69.5%,21.9%,12%,-40,-58,-1.9,5.5,15.1%,311,15.0%,18.4%,0.32,0.45
Xayah,ADC,394,26.2%,15.2%,41.4%,54%,59%,1589,880,1983,4.1,69.4%,17.8%,12%,-76,-20,-2.3,10.1,33.7%,598,27.7%,27.1%,0.41,0.37
Xin Zhao,Jungle,27,1.8%,0.2%,2.0%,26%,89%,42,101,133,1.7,63.2%,25.0%,19%,34,161,0.3,5.5,15.0%,327,17.1%,17.8%,0.31,0.38
Yone,Middle,105,7.0%,9.6%,17.1%,62%,69%,399,241,517,3.8,64.5%,20.4%,10%,123,112,3.4,9.3,28.5%,535,23.4%,25.1%,0.3,0.24
Yuumi,Support,151,10.1%,15.3%,25.4%,48%,47%,75,201,1357,7.1,85.0%,12.2%,10%,-66,217,-4.3,0.2,0.6%,252,11.8%,8.8%,1.38,0.12
Zeri,ADC,461,30.7%,25.4%,56.2%,50%,38%,2066,884,1960,4.6,73.8%,17.3%,11%,-42,-39,-0.8,10.3,34.9%,610,29.3%,28.8%,0.42,0.55
Ziggs,ADC,31,2.1%,3.9%,6.4%,55%,84%,88,64,173,4.1,66.9%,15.4%,6%,-229,-6,-2.8,9,29.0%,792,34.9%,24.6%,0.35,0.23
